threshold,tp,fp,tn,fn,n_alerts,alerts_per_day,precision,recall,specificity,f1,accuracy,kappa,split
0.054,5145,529636,791898,101,534781,990.3351851851852,0.009620760647816582,0.9807472359893252,0.5992263536163277,0.019054602825414282,0.6007348618459729,0.011312141197949576,test
0.055,5141,526137,795397,105,531278,983.8481481481482,0.009676666453344576,0.9799847502859321,0.6018740342662391,0.01916410076716046,0.6033690589246145,0.011423003135785809,test
0.056,5134,522763,798771,112,527897,977.587037037037,0.009725382034752992,0.9786504003049943,0.6044271278680685,0.019259373188806755,0.6059067818327077,0.011519516000316895,test
0.057,5132,519550,801984,114,524682,971.6333333333333,0.009781162685207422,0.9782691574532978,0.6068583933519682,0.01936866895125376,0.6083269268454453,0.011630144572165602,test
0.058,5130,516379,805155,116,521509,965.7574074074074,0.009836838865676335,0.9778879146016012,0.6092578775877124,0.01947774582111228,0.6107154162709718,0.011740551903963068,test
0.059,5128,513312,808222,118,518440,960.074074074074,0.009891212097831958,0.9775066717499047,0.6115786653994525,0.019584254686968908,0.6130255204329278,0.011848360885259587,test
0.06,5128,510276,811258,118,515404,954.4518518518519,0.009949476527151516,0.9775066717499047,0.6138759956232681,0.019698453855757223,0.615313767165619,0.011963921134586651,test
0.061,5126,507285,814249,120,512411,948.9092592592592,0.01000368844540808,0.9771254288982082,0.6161392745097742,0.019804619661281504,0.617566589788812,0.012071383300547824,test
0.062,5125,504281,817253,121,509406,943.3444444444444,0.010060737407882906,0.97693480747236,0.6184123904492809,0.019916370673775677,0.6198299642744087,0.01218448184134886,test
0.063,5123,501379,820155,123,506502,937.9666666666667,0.01011447141373578,0.9765535646206633,0.6206083233575527,0.020021573118019022,0.6220157072008924,0.012290969590013207,test
0.064,5117,498612,822922,129,503729,932.8314814814814,0.010158239847219438,0.9754098360655737,0.6227021022538959,0.02010707795078344,0.6240966852077963,0.01237758856251839,test
0.065,5117,495840,825694,129,500957,927.6981481481481,0.0102144495435736,0.9754098360655737,0.6247996646321623,0.020217185595502198,0.6261859539637318,0.012489008983124569,test
0.066,5115,493235,828299,131,498350,922.8703703703703,0.010263870773552723,0.9750285932138772,0.6267708587141912,0.020313902413839662,0.6281478466663651,0.01258691088321798,test
0.067,5113,490515,831019,133,495628,917.8296296296296,0.01031620489560719,0.9746473503621808,0.6288290728804556,0.020416312286123856,0.6301964153816005,0.012690573965904298,test
0.068,5109,487920,833614,137,493029,913.0166666666667,0.010362473607029202,0.9738848646587877,0.630792699998638,0.02050674828157142,0.6321492636307451,0.01278215306216298,test
0.069,5106,485380,836154,140,490486,908.3074074074074,0.010410083060474713,0.9733130003812428,0.6327147088156643,0.020599840236256686,0.6340614118391896,0.012876404083605169,test
0.07,5101,482747,838787,145,487848,903.4222222222222,0.010456125678490021,0.9723598932520016,0.6347070903964636,0.020689767062669596,0.6360421471532582,0.01296748544037721,test
0.071,5100,480184,841350,146,485284,898.674074074074,0.010509310012281468,0.9721692718261533,0.6366465032303369,0.020793835239434896,0.6379731379731379,0.013072811667477757,test
0.072,5098,477649,843885,148,482747,893.9759259259259,0.010560397060986397,0.9717880289744567,0.6385647285654399,0.020893742328271105,0.6398822713637529,0.013173943823037075,test
0.073,5091,475248,846286,155,480339,889.5166666666667,0.010598764622485369,0.9704536789935189,0.640381556584999,0.020968522503784094,0.641686639834788,0.013249732865421568,test
0.074,5086,472840,848694,160,477926,885.0481481481481,0.010641814841628202,0.9695005718642775,0.6422036814792507,0.021052544435521927,0.6434977916459398,0.013334841520769422,test
0.075,5084,470466,851068,162,475550,880.6481481481482,0.010690779097886658,0.969119329012581,0.644000078696424,0.021148262464745965,0.645285578618912,0.013431736059285871,test
0.076,5084,468189,853345,162,473273,876.4314814814815,0.010742214324501925,0.969119329012581,0.6457230763642857,0.021248895028201598,0.6470017636684303,0.013533570143296578,test
0.077,5082,465872,855662,164,470954,872.1370370370371,0.010790862801887234,0.9687380861608845,0.6474763418875338,0.021343973120537593,0.6487465894873302,0.013629817430183305,test
0.078,5079,463632,857902,167,468711,867.9833333333333,0.010836101563650096,0.9681662218833397,0.6491713417891632,0.021432324029395072,0.6504326263585523,0.01371927458153226,test
0.079,5072,461412,860122,174,466484,863.8592592592593,0.010872827363853851,0.9668318719024018,0.6508512077630996,0.021503826341339325,0.6521005743227966,0.013791751200628392,test
0.08,5069,459240,862294,177,464309,859.8314814814814,0.010917298609331286,0.9662600076248571,0.6524947523105724,0.021590654981844513,0.6537353592909149,0.013879669047557879,test
0.081,5065,457084,864450,181,462149,855.8314814814814,0.010959668851387756,0.965497521921464,0.6541261897158908,0.021673317001679522,0.6553573312832572,0.013963388302496845,test
0.082,5061,454981,866553,185,460042,851.9296296296296,0.01100116945844075,0.9647350362180709,0.6557175222128224,0.02175426832413473,0.6569393569393569,0.014045376984426863,test
0.083,5057,452802,868732,189,457859,847.8870370370371,0.011044884997346344,0.9639725505146779,0.6573663636349878,0.021839539629241747,0.6585786641342197,0.01413173786201582,test
0.084,5055,450699,870835,191,455754,843.9888888888889,0.011091509893495175,0.9635913076629813,0.6589576961319195,0.021930585683297178,0.6601621971992342,0.014223907742609822,test
0.085,5053,448682,872852,193,453735,840.25,0.011136456301585728,0.9632100648112848,0.6604839527397706,0.022018340628479176,0.6616809116809117,0.014312747407742032,test
0.086,5050,446626,874908,196,451676,836.437037037037,0.011180580770286665,0.9626382005337399,0.6620397205066234,0.02210442920235839,0.6632282669319707,0.01439991887131377,test
0.087,5047,444624,876910,199,449671,832.7240740740741,0.011223761372203232,0.9620663362561952,0.6635546266687047,0.022188662986874524,0.6647349221423295,0.01448521377076246,test
0.088,5044,442660,878874,202,447704,829.0814814814814,0.011266372424637707,0.9614944719786505,0.6650407783681691,0.022271773926481952,0.6662129365833069,0.014569372797630892,test
0.089,5042,440842,880692,204,445884,825.7111111111111,0.011307873796772255,0.9611132291269538,0.6664164523954738,0.022352758628333295,0.6675816638779601,0.014651362433523999,test
0.09,5039,438944,882590,207,443983,822.1907407407407,0.011349533653315555,0.9605413648494091,0.6678526621335509,0.022433992462641546,0.6690099338247486,0.014733622607558412,test
0.091,5038,437064,884470,208,442102,818.7074074074075,0.011395560300564123,0.9603507434235609,0.6692752513367042,0.022523851676994198,0.6704261445002185,0.014824575203710518,test
0.092,5035,435204,886330,211,440239,815.2574074074074,0.011436969464313702,0.959778879146016,0.6706827066121643,0.022604577034019104,0.6718257736776255,0.014906321450229023,test
0.093,5030,433358,888176,216,438388,811.8296296296296,0.011473854211337902,0.9588257720167747,0.6720795681382393,0.022676350324817303,0.673213343583714,0.014979045783541511,test
0.094,5026,431529,890005,220,436555,808.4351851851852,0.011512867794435982,0.9580632863133817,0.6734635658257752,0.02275232514186251,0.6745888542184838,0.01505600410947518,test
0.095,5025,429840,891694,221,434865,805.3055555555555,0.01155531026870408,0.9578726648875333,0.6747416260194592,0.0228351484057431,0.6758611073425889,0.01513983755284846,test
0.096,5021,428155,893379,225,433176,802.1777777777778,0.011591131549300977,0.9571101791841403,0.6760166594276046,0.02290487247446524,0.6771280845354919,0.015210471131763256,test
0.097,5017,426436,895098,229,431453,798.987037037037,0.011628149531930476,0.9563476934807472,0.6773174205128283,0.022976924609399152,0.6784206876799469,0.015283461184708245,test
0.098,5016,424725,896809,230,429741,795.8166666666667,0.011672146711623978,0.956157072054899,0.6786121280269747,0.023062758197371417,0.6797095223021149,0.015370341692827496,test
0.099,5015,423044,898490,231,428059,792.7018518518519,0.011715674708393001,0.9559664506290507,0.6798841346495814,0.023147667347480413,0.6809757457905606,0.015456286772805812,test
0.1,5013,421341,900193,233,426354,789.5444444444445,0.011757835038489144,0.9555852077773542,0.6811727885926506,0.023229842446709916,0.6822577970726119,0.015539484156716285,test
0.11,4990,405320,916214,256,410310,759.8333333333334,0.01216153639930784,0.9512009149828441,0.6932958213712247,0.024016017095168884,0.6943155609822277,0.016335527662155087,test
0.12,4962,390562,930972,284,395524,732.4518518518519,0.01254538283391147,0.9458635150590926,0.7044631466159781,0.02476233250991841,0.7054176276398498,0.017091364833620958,test
0.13,4945,377252,944282,301,382197,707.7722222222222,0.012938353780903565,0.9426229508196722,0.7145347754957496,0.025526335486768376,0.7154366209921765,0.01786490170726522,test
0.14,4926,365055,956479,320,369981,685.15,0.013314197215532689,0.9390011437285551,0.723764201299399,0.026256106303650856,0.7246152338744931,0.018603858017893375,test
0.15,4909,353719,967815,337,358628,664.1259259259259,0.01368827866201189,0.9357605794891346,0.7323421115158596,0.026981867349686977,0.7331464146278961,0.019338731869861642,test
0.16,4882,343048,978486,364,347930,644.3148148148148,0.014031558072025982,0.9306138009912314,0.7404168186365239,0.0276462726799103,0.7411688448725485,0.0200117670415408,test
0.17,4863,333108,988426,383,337971,625.8722222222223,0.014388808507238787,0.9269919939001143,0.7479383807000047,0.02833775716237832,0.7486463467944949,0.02071204472117738,test
0.18,4839,323758,997776,407,328597,608.512962962963,0.014726245218306924,0.9224170796797561,0.7550134918965384,0.028989674787250296,0.7556753945642835,0.0213724261172436,test
0.19,4817,314781,1006753,429,319598,591.8481481481482,0.015072059274463544,0.9182234083110942,0.7618063553415955,0.029657312433044782,0.7624248179803735,0.022048694090862554,test
0.2,4796,306388,1015146,450,311184,576.2666666666667,0.015412103450048845,0.9142203583682806,0.7681573080980134,0.03031318143033214,0.7687348316977947,0.02271305052504169,test
